name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Sherry-and-Egg Cocktail,Cocktail Classics,1 egg,,2 oz, cream sherry,,,,,,,,,"Place an egg in a cocktail glass, being careful not to break the yolk. Add 2 oz. cream sherry.",Cocktail Glass,6
Americana,Whiskies,1 oz, Tennessee whiskey,1/2 oz, Simple Syrup,2 oz, Angostura Bitters,, Chilled American sparkling wine, Peach slice,,,,Stir first three ingredients in ice-filled Collins glass. Fill with sparkling wine. Garnish with a peach slice.,Collins Glass,14
Allegheny,Whiskies,1 oz, Bourbon whiskey,1 oz, Dry Vermouth,1/2 oz, Blackberry-flavored brandy,1/2 oz, Fresh lemon juice, Lemon twist,,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Sevilla Cocktail,Cocktail Classics,1/2 oz, Powdered Sugar,1 oz, Whole Egg,1 oz, Port,1 oz, Light Rum,,,,,Shake with ice and strain into sour glass.,Sour Glass,5
September Morn Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Light Rum,1/2 oz, Juice of a Lime,1 oz, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Peach Iced Tea,Vodka,1 1/2 oz, Peach-flavored vodka,1/2 oz, Orange curacao,3/4 oz, Fresh lemon juice,1/2 oz, Honey Syrup,2 oz, Iced tea,," Peach slice, lemon wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with a peach slice and a lemon slice.,Collins Glass,14
Fantasio Cocktail,Brandy,1 oz, Brandy,3/4 oz, Dry Vermouth,1 oz, White creme de menthe,1 oz, Maraschino liqueur,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Scotch Bird Flyer,Cocktail Classics,1 1/2 oz, Scotch,1 oz, Egg Yolk,1/2 oz, Triple Sec,1/2 oz, Powdered Sugar,1 oz, Light cream,,,Shake with ice and strain into champagne flute.,Champagne Flute,6
Algonquin,Whiskies,1 1/2 oz, Straight rye whiskey,1 oz, Dry Vermouth,1 oz, Pineapple Juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Savannah,Cocktail Classics,1/2 oz, Juice of Orange,1 oz, Gin,1 oz, White creme de cacao,1 oz, Egg White,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Pink Rose Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,2 oz, Light cream,2 oz, Gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Ninotchka Cocktail,Vodka,1 1/2 oz, Vodka,1/2 oz, White creme de cacao,1/4 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Prairie Oyster,Cocktail Classics,1 oz, Brandy,1 oz, Worcestershire Sauce,1 oz, Catsup,1 oz, Vinegar,1 oz, Pepper,,,Shake with ice and strain into old-fashioned glass over two ice cubes.  Top with unbroken egg yolk. Add a dash of cayenne pepper.,Old-Fashioned Glass,6
Prairie Chicken,Cocktail Classics,1 oz, Gin,1 oz, Whole Egg,, Pepper and Salt,,,,,,,Open egg without breaking the yolk and put in wine glass. Top with gin. Add pepper and salt.,Red-Wine Glass,12
Pousse L'Amour,Cocktail Classics,1 oz, Maraschino,1 oz, Egg Yolk,1/2 oz, Benedictine,1/2 oz, Brandy,,,,,"Pour carefully, in order given, into 2-oz. sherry glass, so that each ingredient floats on preceding one",Sherry Glass,4
Puerto Apple,Cocktail Classics,1 1/2 oz, Applejack,3/4 oz, Light Rum,1 oz, Lime Juice,1 oz, Orgeat Syrup,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a lime slice.,Old-Fashioned Glass,6
Akogare,Whiskies,1 1/2 oz, Straight rye whiskey,3/4 oz, Ginger syrup,3/4 oz," Cold brewed black tea, preferably Japanese",3/4 oz, Fresh lemon juice, Orange twist,,,,Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Prado,Cocktail Classics,1 1/2 oz, Tequila,3/4 oz, Lemon Juice,1 oz, Maraschino,1/2 oz, Egg White,1 oz, Grenadine,,,Shake with ice and strain into sour glass. Garnish with a lime slice and a cherry.,Sour Glass,5
Port Wine Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, Port,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Port Wine Cobbler,Cocktail Classics,1 tsp, powdered sugar,2 oz, carbonated water,,shaved ice,3 oz, port,fruits in season,,,,Dissolve 1 teaspoon powdered sugar in 2 oz. carbonated water; then fill goblet with shaved ice and add 3 oz. port. Stir and garnish with fruits. Serve with straws.,Red-Wine Glass,12
Nijinksy Blini,Vodka,1 oz, Vodka,1 oz, Peach schnapps,1 oz, Peach puree,1/4 oz, Fresh lemon juice, Chilled Champagne,,,,Shake first four ingredients with ice. Strain into chilled champagne flute and top with Champagne.,Champagne Flute,6
Affinity Cocktail (whisky),Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Dry Vermouth,1 oz, Sweet Vermouth,3 oz, Orange Bitters,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Plain Vermouth Cocktail,Cocktail Classics,1 oz, Dry Vermouth,1 oz, Sweet Vermouth,1 oz, Orange Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Ping-Pong Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1 oz, Egg White,2 oz, Sloe gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Moscow Mule,Vodka,1 1/2 oz, Vodka,1/2 oz, Fresh Lime Juice,, Ginger beer,, Lime wedge,,,,,Pour vodka and lime juice into copper Moscow Mule mug or standard beer mug. Add ice cubes and fill with ginger beer. Squeeze lime wedge and add to glass.,Beer Mug,10
Phoebe Snow,Cocktail Classics,1 1/2 oz, Dubonnet,1 1/2 oz, Brandy,1/2 oz, Anis,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Affinity Cocktail,Whiskies,2 oz, Straight rye whiskey,3/4 oz, Maraschino liqueur,3/4 oz, Fresh lemon juice,2 oz, Orange Bitters," Orange twist, flamed",,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Peggy Cocktail,Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Gin,1/4 oz, Anis,1/4 oz, Dubonnet,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Peach Blow Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Light cream,2 oz, Gin,1/4 oz, Peach,,,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Peach Blossom,Cocktail Classics,1 oz, Lemon Juice,1/2 oz, Powdered Sugar,2 oz, Gin,1/2 oz, Peach,,,,,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Passion Mimosa,Cocktail Classics,2 oz, Chilled Passion Fruit Juice,, Chilled Champagne,,,,,,,,,"Pour chilled juice into champagne flute, fill with chilled champagne. Garnish with a strawberry slice.",Champagne Flute,6
Mocha Express,Vodka,1 1/2 oz, Vodka,3/4 oz, Irish cream liqueur,3/4 oz, Coffee liqueur,3/4 oz, Cold brewed espresso coffee,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Palmer Cocktail,Cocktail Classics,2 oz, Blended whiskey,1 oz, Bitters,1/2 oz, Lemon Juice,,,,,,,Stir with ice and strain in cocktail glass.,Cocktail Glass,6
Mr. 404,Vodka,1 1/2 oz, Vodka,3/4 oz, Elderflower liqueur,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1/2 oz, Aperol,, Orange twist,Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Mountain Cocktail,Cocktail Classics,1 oz, Egg White,1/4 oz, Lemon Juice,1/4 oz, Dry Vermouth,1/4 oz, Sweet Vermouth,1 1/2 oz, Blended whiskey,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Morning Glory Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1/2 oz, Anis,2 oz, Scotch,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Adderly Cocktail,Whiskies,2 oz, Straight rye whiskey,3/4 oz, Maraschino liqueur,2 oz, Orange Bitters,3/4 oz, Fresh lemon juice," Orange twist, flamed",,,,Shake with ice and strain into cocktail glass. Garnish with a flamed orange twist.,Cocktail Glass,6
Fancy Brandy,Brandy,2 oz, Brandy,1/4 oz, Triple Sec,1/4 oz, Simple Syrup,1 oz, Angostura Bitters, Lemon twist,,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Montreal Gin Sour,Cocktail Classics,1 oz, Gin,1 oz, Lemon Juice,1/2 oz, Egg White,1 oz, Powdered Sugar,,,,,Shake with ice and strain into sour glass. Garnish with a lemon slice.,Sour Glass,5
Montezuma,Cocktail Classics,1 1/2 oz, Tequila,1 oz, Madeira,1 oz, Egg Yolk,1/2 oz, Crushed ice,,,,,Mix in blender at low speed and serve in champagne flute.,Champagne Flute,6
Miss Jones,Vodka,1 1/2 oz, Vanilla-flavored vodka,1 oz, Fresh lemon juice,1/2 oz, Butterscotch schnapps,1/2 oz, Limoncello, Star anise pod,,,,Shake with ice and strain into chilled cocktail glass. Garnish with star anise.,Cocktail Glass,6
Mint Gin Cocktail,Cocktail Classics,1 oz, Mint-Flavored Gin,1 oz, White Port Wine,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Mint Collins,Cocktail Classics,1/2 oz, Juice of a Lemon,2 oz, Mint-Flavored Gin,,,,,,,,,"Shake with ice and strain into collins glass. Add several ice cubes, fill with carbonated water, and stir. Garnish with a lemon slice, an orange slice, and a cherry. Serve with straws.",Collins Glass,14
Million-Dollar Cocktail,Cocktail Classics,2 oz, Pineapple Juice,1 oz, Grenadine,1 oz, Egg White,3/4 oz, Sweet Vermouth,1 1/2 oz, Gin,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Millionaire Cocktail,Cocktail Classics,1 oz, Egg White,1/4 oz, Grenadine,1/2 oz, Triple Sec,1 1/2 oz, Blended whiskey,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Academic Review,Whiskies,1 1/2 oz, Irish Whiskey,1/2 oz, Applejack,1/2 oz, Amaro Nonino,1/2 oz, Rye Whiskey,1/4 oz, Demerara Syrup,2 oz, Mole bitters 1 oz,Stir with ice and strain into ice-filled old-fashioned glass. Garnish with an orange twist.,Old-Fashioned Glass,6
Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Blended whiskey,1 oz, Milk,,,,,,,Shake with ice and strain into collins glass. Top with nutmeg.,Collins Glass,14
Merry Widow Fizz,Cocktail Classics,1/2 oz, Juice of Orange,1/2 oz, Juice of a Lemon,1 oz, Egg White,1 oz, Powdered Sugar,1 1/2 oz, Sloe gin,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
May Blossom Fizz,Cocktail Classics,1 oz, Grenadine,1/2 oz, Juice of a Lemon,2 oz, Swedish Punch,,,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Mary Garden Cocktail,Cocktail Classics,1 1/2 oz, Dubonnet,3/4 oz, Dry Vermouth,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
19th Century,Whiskies,1 1/2 oz, Bourbon whiskey,3/4 oz, Fresh lemon juice,3/4 oz, White creme de cacao,3/4 oz, Lillet Rouge,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Manila Fizz,Cocktail Classics,2 oz, Gin,1 oz, Whole Egg,1 oz, Powdered Sugar,2 oz, Root Beer,1/2 oz, Juice of a Lime,,,Lemon Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,7
1626,Whiskies,2 1/2 oz, Bourbon whiskey,3/4 oz, Gingerbread liqueur,1/2 oz, cherry-flavored brandy,2 oz, Angostura Bitters,1 oz, Italian preserved cherry,,,Shake well with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Maracuya Mosquito,Vodka,4 oz, Fresh basil leaves,1 1/2 oz, Vodka,1/2 oz, Green Chartreuse,1/2 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,1 oz," Passion Fruit Juice, basil leaf",Muddle 4 basil leaves in mixing glass. Add remaining ingredients. Shake with ice. Double-strain through wire sieve into crushed ice- filled Collins glass. Garnish with a basil leaf.,Collins Glass,14
Madras,Vodka,1 1/2 oz, Vodka,4 oz, Cranberry Juice,1 oz, Orange juice,, Lime wedge,,,,,Build in order given into ice-filled highball glass. Squeeze lime and add.,Highball Glass,7
Absinthe Cocktail,Cocktail Classics,1 1/2 oz, Absinthe Substitute,2 oz, Water,1 1/2 oz, Old Mr. Boston Anisette ,1 oz, Orange Bitters,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lychee Lucy,Vodka,1 1/2 oz, Vodka,1/2 oz, Lychee liqueur,1/2 oz, Fresh orange juice,1/2 oz, Pineapple Juice,2 oz, Angostura Bitters,, Canned pitted lychee nut stuffed with a small pineapple leaf,Shake with ice and strain into chilled cocktail glass. Garnish with lychee.,Cocktail Glass,6
Vodka Martini,Cocktail Classics,1 1/2 oz, Mr. Boston Vodka,3/4 oz, Dry Vermouth,,,,,,,,,Stir or shake with ice and strain into cocktail glass. Garnish with an olive. ,Cocktail Glass,6
The Loop,Vodka,2 oz, Black cherry-flavored vodka,1/2 oz, White creme de cacao,1/2 oz, Chile Syrup,, Grated bittersweet chocolate,,,,,Shake ingredients with ice. Pour into chilled old-fashioned glass. Top with grated chocolate.,Old-Fashioned Glass,6
Long Island Iced Tea,Vodka,3/4 oz, Vodka,3/4 oz, Blanco tequila,3/4 oz, Gin,3/4 oz, Light Rum,3/4 oz, Triple Sec,1/2 oz," Simple Syrup, 1/2 oz","Shake ingredients, except cola, with ice and pour with ice into highball glass. Add cola for color. Garnish with a lemon slice.",Highball Glass,7
Fallen Leaves,Brandy,3/4 oz, Calvados,3/4 oz, Sweet Vermouth,1/4 oz, Dry Vermouth,1 oz, Brandy, Lemon twist,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
L'italienne,Vodka,2 oz, Vodka,1/4 oz, Lillet Blanc,1/4 oz, Ramazzotti Amaro,1 oz, Orange Bitters,,,,,Stir and strain into chilled cocktail glass.,Cocktail Glass,6
Rum Dubonnet,Cocktail Classics,1 1/2 oz, Light Rum,1 1/2 oz, Dubonnet,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ruby Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1 oz, Grenadine,2 oz, Sloe gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Limoncello Manzanilla Marmalade Sour,Vodka,1 1/2 oz, Citrus-flavored vodka,3/4 oz, Limoncello,3/4 oz, Manzanilla sherry,3/4 oz, Fresh lemon juice,1 oz, Grapefruit marmalade,, Orange twist,Shake with ice and double-strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Royal Purple Punch,Cocktail Classics, 2 bottles ,red wine,,ginger ale,,lemon,,whole cloves,,,,,Pour two bottles (750-ml size) claret or red wine and two large bottles ginger ale over ice cubes in punch bowl. Stir well. Top with lemon slices studded with cloves. Serve in punch glasses.,Punch Cup,3
Royal Gin Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Whole Egg,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Royal Cocktail,Cocktail Classics,1 oz, Whole Egg,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Gin,,,,,Shake with ice and strain into sour glass.,Sour Glass,5
Royal Clover Club Cocktail,Cocktail Classics,1 oz, Juice of a Lime,1 oz, Grenadine,1 oz, Egg Yolk,1 1/2 oz, Gin,,,,,Shake with ice and strain into sour glass.,Sour Glass,5
Lights On The Plaza,Vodka,2,"Cucumber slices, chopped",1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 1/2 oz, Acai berry flavored vodka,1/2 oz, Black raspberry liqueur,1 oz," Sparkling wine, raspberry and cucumber","Muddle cucumbers, lemon juice, and syrup in mixing glass. Add vodka, raspberry liqueur, and ice and shake. Double-strain into chilled cocktail glass. Top with sparkling wine. Garnish with a raspberry-cucumber skewer.",Cocktail Glass,6
Rococo,Cocktail Classics,1 oz, Cherry Vodka,1 oz, Orange Juice,1/2 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Rock & Rye Cooler,Cocktail Classics,1 oz, Rock and Rye,1 1/2 oz, Vodka,1 oz, Lime Juice,, Bitter lemon soda,,,,,Shake with ice and strain into collins glass over ice.,Collins Glass,14
Rock & Rye Cocktail,Cocktail Classics,1 oz, Rock and Rye,1 oz, White Port Wine,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Le Paradini,Vodka,1 1/2 oz, Vodka,1/2 oz, Raspberry-flavored liqueur,1/2 oz, Grand Marnier,1 oz, Chilled Champagne,,,,,Shake first three ingredients with ice and strain into chilled cocktail glass. Top with Champagne.,Cocktail Glass,6
Red Swizzle,Cocktail Classics,1 oz, Juice of a Lime,1 oz, Powdered Sugar,2 oz, Carbonated Water,2 oz, Gin,2 oz, Bitters,1 oz, Grenadine,"Combine first four ingredients in ice-filled Collins glass. With bar spoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with soda water and add one tablespoon of grenadine. If desired, rum, brandy, or whiskey may be substituted for the gin.",Collins Glass,14
Lemon Drop,Vodka,For glass," Lemon wedge, superfine sugar",1 1/2 oz, lemon-flavored vodka,3/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup, Lemon wedge,,,,Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice. Strain into glass. Squeeze lemon wedge and add.,Cocktail Glass,6
Rebel Charge ,Cocktail Classics,1 oz, Bourbon,1/2 oz, Triple Sec,1 oz, Orange Juice,1 oz, Lemon Juice,1/2 oz, Egg White,,,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with an orange slice.,Old-Fashioned Glass,6
Rattlesnake Cocktail,Cocktail Classics,1 1/2 oz, Blended whiskey,1 oz, Egg White,1 oz, Lemon Juice,1/2 oz, Powdered Sugar,1/4 oz, Anis,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ramos Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Egg White,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Light cream,1/2 oz, Triple Sec,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
San Francisco,Cocktail Classics,3/4 oz, Sloe gin,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,1 oz, Bitters,1 oz, Orange Bitters,,,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Sand-Martini Cocktail,Cocktail Classics,1 oz, Green Chartreuse,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,1 oz, Sake,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Sake Martini (Sakini),Cocktail Classics,1 oz, Sake,3 oz, Gin,,,,,,,,,"Stir with ice, strain into 3- or 4-oz. cocktail glass and garnish with an olive.",Cocktail Glass,6
Lemon Crush,Vodka,For glass," Lemon wedge, superfine sugar",1 1/2 oz, Citrus-flavored vodka,1/2 oz, Crema di limoncello,1/2 oz, Triple Sec,1 oz, Fresh lemon juice,,,Rim chilled cocktail glass with lemon and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6
Rye Whiskey Cocktail,Cocktail Classics,1 oz, Bitters,1 oz, Powdered Sugar,2 oz, Rye Whiskey,,,,,,,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Leaves Of Grass,Vodka,1 1/2 oz, Aquavit,1/2 oz, Old Tom gin,1/2 oz, Demerara Syrup,2 oz, Orange Bitters,1 oz, Absinthe,, Celery stick,Stir with ice and strain into ice-filled old-fashioned glass. Garnish with a celery stick.,Old-Fashioned Glass,6
Widow's Dream,Cocktail Classics,1 1/2 oz, Benedictine,1 oz, Whole Egg,,,,,,,,,Shake with ice and strain into cocktail glass. Top with one teaspoon of sweet cream.,Cocktail Glass,6
Whiskey Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1 oz, Blended whiskey,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
L.A. Sunrise,Vodka,1 oz, Vodka,1 oz, Creme de banana,2 oz, Fresh orange juice,2 oz, Pineapple Juice,1/4 oz, Dark rum,," Lime wheel, maraschino cherry",Shake first four ingredients with ice. Strain into ice-filled hurricane or parfait glass. Top with rum. Garnish with a lime slice and a cherry.,Hurricane Glass,14
White Rose Cocktail,Cocktail Classics,3/4 oz, Gin,1 oz, Orange Juice,1 oz, Juice of a Lime,1/2 oz, Maraschino,1 oz, Egg White,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
