name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Cuban Cocktail No. 2,Brandy,1 1/2 oz, Brandy,1/2 oz, Light Rum,1/2 oz, Apricot-Flavored Brandy,1/2 oz, Fresh Lime Juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Prohibition Punch,Rum - Daiquiris,1 1/2 oz, Dark rum,3/4 oz, Grand Marnier,1 oz, Passion Fruit Juice,1 oz, Cranberry Juice,1/4 oz, Fresh lemon juice,2 oz, Champagne,Shake first five ingredients with ice. Strain into ice-filled snifter. Top with Champagne.,Brandy Snifter,8
Prairie Oyster Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Worcestershire Sauce,1 oz, Tomato Catsup,1 oz, Vinegar,1 oz, Pepper,1 oz," Egg Yolk, 1 oz",Shake with ice and strain into old-fashioned glass over two ice cubes. Top with an unbroken egg yolk. Add a dash of cayenne pepper.,Old-Fashioned Glass,6
Poker Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Sweet Vermouth,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Planter's Punch No. 2,Rum - Daiquiris,2 oz, Light Rum,2 oz, Orange juice,1 oz," each Fresh Lime Juice, jamaica rum, grenadine",1/2 oz, Pineapple Juice,1/4 oz," each Fresh lemon juice, triple sec",," Lemon, orange, and pineapple slices; maraschino cherry; fresh mint sprig dipped in sugar","Stir first five ingredients in ice-filled Collins glass until glass is frosted. Add Jamaican rum, stir, and top with triple sec and grenadine. Garnish with fruit and mint. Serve with a straw.",Collins Glass,14
Planter's Punch No. 1,Rum - Daiquiris,2 1/2 oz, Light Rum,2 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,2 oz, Soda water,1 oz, Grenadine,," Lemon, orange, and pineapple slices; maraschino cherry","Stir rum, lime juice, syrup, and bitters in ice-filled Collins glass until glass is frosted. Fill with soda water and top with grenadine. Garnish with fruit. Serve with a straw.",Collins Glass,14
Planter's Cocktail,Rum - Daiquiris,1 1/2 oz, Jamaica Rum,1/2 oz, Fresh lemon juice,1 oz, Simple Syrup,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Pink Paradise,Rum - Daiquiris,1 1/2 oz, Coconut-flavored rum,1 oz, Amaretto,3 oz, Cranberry Juice,1 1/2 oz, Pineapple Juice,," Pineapple wedge, maraschino cherry",,,Stir ingredients in ice-filled hurricane glass. Garnish with a pineapple slice and a cherry.,Hurricane Glass,14
Pink Creole,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/4 oz, Grenadine,1/4 oz, half-and-half,, Rum-soaked black cherry,,,Shake with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Pineapple Fizz,Rum - Daiquiris,2 oz, Light Rum,1 oz, Pineapple Juice,1 oz, Simple Syrup, Soda water,,,,,,"Shake rum, pineapple juice, and syrup with ice and strain into chilled highball glass over 2 ice cubes. Fill with soda water and stir.",Highball Glass,7
Pineapple Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,3/4 oz, Pineapple Juice,1/2 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Pearl Button,Rum - Daiquiris,2 oz, Cachaca (Brazilian rum),3/4 oz, Lillet Blanc,1/2 oz, Fresh Lime Juice, Lemon-lime soda,,," Pineapple wedge, maraschino cherry",,,Shake first three ingredients with ice and strain into ice-filled Collins glass. Top with soda. Garnish with a pineapple slice and a cherry.,Collins Glass,14
