name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Cherry Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,1.5 oz,2 oz, Light Cream (if desired),,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Cherry Cooler,Cocktail Classics,2 oz, Cherry Vodka,, Cola,,,,,,,,,Lemon Slice,"Pour cherry vodka into collins glass over ice cubes. Fill with cola, garnish with a lemon slice, and stir.",Collins Glass,14
Polynesian Cocktail,Vodka,,,1.5 oz, Vodka,,.75 oz,.75 oz,  Lime Juice,,,,,,Rim chilled cocktail glass with lime and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6
Chateau Briand's Rum Cow,Cocktail Classics,1.25 oz, Dark rum,1 oz, Sugar,,2 oz,.75 oz, Milk,,,,,,Blend and strain into a collins glass.,Collins Glass,14
Champagne Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",champagne_flute,6
Pink Pussycat,Vodka,1.5 oz, Vodka,2 oz, Pineapple or grapefruit juice,,.5 oz,,,,,,,,Pour ingredients into ice-filled highball glass and stir.,Highball Glass,7
Canadian Pineapple,Cocktail Classics,1.5 oz, Canadian whisky,1 oz, Pineapple Juice,,1 oz,.5 oz, Maraschino,,,,,Pineapple Slice,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a pineapple slice.,Old-Fashioned Glass,6
Calm Voyage,Cocktail Classics,.5 oz, Strega,.5 oz, Light Rum,,1 oz,2 oz, Lemon Juice,.5 oz, Egg White,,,,Put all ingredients in blender with half a cup of crushed ice. Blend at low speed and pour into champagne flute.,champagne_flute,6
Pink Lemonade,Vodka,1.5 oz, Citrus-flavored vodka,.25 oz, Triple Sec,,.25 oz,.25 oz,  lemon juice,.25 oz, Simple Syrup,2 oz," Cranberry Juice, lemon wheel",Lemon Slice,Shake with ice and strain into ice-filled Collins glass. Garnish with a lemon slice.,Collins Glass,14
Caledonia,Cocktail Classics,1 oz, Creme de Cacao (Brown),1 oz, Brandy,,1 oz,1 oz, Egg Yolk,,,,,Cinnamon,Shake well with ice and Strain into old-fashioned glass over ice cubes. Top with cinnamon.,Old-Fashioned Glass,6
Caf_ di Amaretto ,Cocktail Classics,1 oz, Hot Black Coffee,1 oz, Amaretto,,,,,,,,,Whipped Cream,Add 1 oz. Amaretto to a cup of black coffee. Top with whipped cream.,ROCK,10
Cafe De Paris Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Anis,,1 oz,1.5 oz, Gin,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Aztec's Mark,Whiskies,1.5 oz, Bourbon whiskey,.5 oz, White creme de cacao,,.25 oz,2 oz, Hot red pepper sauce,,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Fontainebleau Special,Brandy,1 oz, Brandy,1 oz, Anisette,,.5 oz,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Suntan,Cocktail Classics,2 oz, Hot Shot Tropical Fruit Liqueur,2 oz, Orange Juice,,,,,,,,,,Pour over ice in a highball glass. Fill with club soda.,Highball Glass,7
Sunburn,Cocktail Classics,2 oz, Hot Shot Tropical Fruit Liqueur,2 oz, Grapefruit Juice,,,,,,,,,,Pour over ice in a highball glass. Fill with club soda. Add a dash of grenadine for color.,Highball Glass,7
Suissesse Cocktail,Cocktail Classics,2 oz, Anisette,1 oz, Egg White,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Strawberry Sunries,Cocktail Classics,2 oz, Strawberry schnapps,.5 oz, Grenadine,,,,,,,,,Strawberry,Pour over ice in a highball glass. Fill with orange juice. Garnish with a strawberry,Highball Glass,7
Autumn Leaves,Whiskies,.75 oz, Straight rye whiskey,.75 oz, Apple Brandy,,.75 oz,.25 oz, Strega,2 oz, Angostura Bitters,,,Orange Twist,Stir with ice and strain into ice-filled old-fashioned glass. Garnish with an orange twist.,Old-Fashioned Glass,6
Pickled Pink,Vodka,2 oz, Vodka,1 oz, Aquavit,,.5 oz,2 oz, Angostura Bitters,,,,,Dill,Shake with ice and strain into cocktail glass. Garnish with dill.,Cocktail Glass,6
Aquarius,Whiskies,1.5 oz, Blended Scotch Whiskey,.5 oz, cherry-flavored brandy,,1 oz,,,,,,,,Shake with ice and strain into old-fashioned glass over ice.,Old-Fashioned Glass,6
Soul Kiss Cocktail,Cocktail Classics,1.5 oz, Orange Juice,1.5 oz, Dubonnet,,.75 oz,.75 oz, Bourbon,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Pickled Martini,Vodka,2 oz, Vodka,.25 oz, Dry Vermouth,,.75 oz,,,,,,,Pickle,Stir with ice and strain into chilled cocktail glass. Garnish with a pickle.,Cocktail Glass,6
Sloe Gin Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,1 oz,2 oz, Light Cream (if desired),,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Angel's Share,Whiskies,1.5 oz, Bourbon whiskey,.5 oz, Amaro,,.25 oz,1 oz, Orange Bitters,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Silver Stallion Fizz,Cocktail Classics,1 oz, Vanilla Ice Cream,2 oz, Gin,,,,,,,,,,Shake gin and ice cream with ice and strain into highball glass. Fill with carbonated water and stir.,Highball Glass,7
Silver King Cocktail,Cocktail Classics,1 oz, Egg White,.25 oz, Juice of a Lemon,,1.5 oz,.5 oz, Powdered Sugar,2 oz, Orange Bitters,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
American Trilogy,Whiskies,1 oz," Brown sugar cube, such as Demerara",1 oz, Straight rye whiskey,,1 oz,,,,,,,Orange Twist,"Muddle sugar cube in mixer glass. Add whiskey, applejack, and ice. Stir and strain into chilled old-fashioned glass. Garnish with an orange twist.",Old-Fashioned Glass,6
Sherry Twist Cocktail,Cocktail Classics,1 oz, Cream sherry,.5 oz, Brandy,,.5 oz,.5 oz, Triple Sec,.5 oz, Lemon Juice,,,"Orange Twist, Cinnamon",Shake with ice and strain into cocktail glass. Top with cinnamon and garnish with an orange twist.,Cocktail Glass,6
Sherry Sangaree,Cocktail Classics,.5 oz, Powdered Sugar,1 oz, Water,,2 oz,, Carbonated Water,1 oz, Port,,,,"In an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. Add ice cubes and a splash of carbonated water, leaving enough room on which to float port. Add port. Sprinkle lightly with nutmeg.",Old-Fashioned Glass,6
Petit Zinc,Vodka,1 oz, Vodka,.5 oz, Triple Sec,,.5 oz,.5 oz, Orange juice,,,,, Orange wedge,Shake with ice and strain into chilled cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Sherry Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,1.5 oz,2 oz, Light Cream (if desired),,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Sherry-and-Egg Cocktail,Cocktail Classics,,,2 oz, cream sherry,,,,,,,,,Egg Yolk,"Place an egg in a cocktail glass, being careful not to break the yolk. Add 2 oz. cream sherry.",Cocktail Glass,6
Americana,Whiskies,1 oz, Tennessee whiskey,.5 oz, Simple Syrup,,2 oz,, Chilled American sparkling wine,,,,,Peach Slice,Stir first three ingredients in ice-filled Collins glass. Fill with sparkling wine. Garnish with a peach slice.,Collins Glass,14
Allegheny,Whiskies,1 oz, Bourbon whiskey,1 oz, Dry Vermouth,,.5 oz,.5 oz,  lemon juice,,,,,Lemon Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Sevilla Cocktail,Cocktail Classics,.5 oz, Powdered Sugar,1 oz, Whole Egg,,1 oz,1 oz, Light Rum,,,,,,Shake with ice and strain into sour glass.,sour,5
September Morn Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Light Rum,,.5 oz,1 oz, Grenadine,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Peach Iced Tea,Vodka,1.5 oz, Peach-flavored vodka,.5 oz, Orange curacao,,.75 oz,.5 oz, Honey Syrup,2 oz, Iced tea,,,"Peach Slice, Lemon Slice",Shake with ice and strain into ice-filled Collins glass. Garnish with a peach slice and a lemon slice.,Collins Glass,14
Fantasio Cocktail,Brandy,1 oz, Brandy,.75 oz, Dry Vermouth,,1 oz,1 oz, Maraschino liqueur,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Scotch Bird Flyer,Cocktail Classics,1.5 oz, Scotch,1 oz, Egg Yolk,,.5 oz,.5 oz, Powdered Sugar,1 oz, Light cream,,,,Shake with ice and strain into champagne flute.,champagne_flute,6
Algonquin,Whiskies,1.5 oz, Straight rye whiskey,1 oz, Dry Vermouth,,1 oz,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Savannah,Cocktail Classics,.5 oz, Juice of Orange,1 oz, Gin,,1 oz,1 oz, Egg White,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Pink Rose Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,1 oz,2 oz, Light cream,2 oz, Gin,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Ninotchka Cocktail,Vodka,1.5 oz, Vodka,.5 oz, White creme de cacao,,.25 oz,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Prairie Oyster,Cocktail Classics,1 oz, Brandy,1 oz, Worcestershire Sauce,,1 oz,1 oz, Vinegar,1 oz, Pepper,,,"Egg Yolk, Cayenne Pepper",Shake with ice and strain into old-fashioned glass over two ice cubes.  Top with unbroken egg yolk. Add a dash of cayenne pepper.,Old-Fashioned Glass,6
Prairie Chicken,Cocktail Classics,1 oz, Gin,,,,,,,,,,,"Egg Yolk, Pepper, Salt",Open egg without breaking the yolk and put in wine glass. Top with gin. Add pepper and salt.,poco_grande,12
Pousse L'Amour,Cocktail Classics,1 oz, Maraschino,1 oz, Egg Yolk,,.5 oz,.5 oz, Brandy,,,,,,"Pour carefully, in order given, into 2-oz. sherry glass, so that each ingredient floats on preceding one",champagne_extra_fluted,4
Puerto Apple,Cocktail Classics,1.5 oz, Applejack,.75 oz, Light Rum,,1 oz,1 oz, Orgeat Syrup,,,,,Lime Slice,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with a lime slice.,Old-Fashioned Glass,6
Akogare,Whiskies,1.5 oz, Straight rye whiskey,.75 oz, Ginger syrup,,.75 oz,.75 oz,  lemon juice,,,,,Orange Twist,Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Prado,Cocktail Classics,1.5 oz, Tequila,.75 oz, Lemon Juice,,1 oz,.5 oz, Egg White,1 oz, Grenadine,,,"Lime Slice, Cherry",Shake with ice and strain into sour glass. Garnish with a lime slice and a cherry.,sour,5
Port Wine Flip,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,1.5 oz,2 oz, Light Cream (if desired),,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Port Wine Cobbler,Cocktail Classics,1 tsp, powdered sugar,2 oz, carbonated water,,,3 oz, port,,,,,Seasonal Fruit,Dissolve 1 teaspoon powdered sugar in 2 oz. carbonated water; then fill goblet with shaved ice and add 3 oz. port. Stir and garnish with seasonal fruit. Serve with straws.,poco_grande,12
Affinity Cocktail (whisky),Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Dry Vermouth,,1 oz,3 oz, Orange Bitters,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Plain Vermouth Cocktail,Cocktail Classics,1 oz, Dry Vermouth,1 oz, Sweet Vermouth,,1 oz,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Ping-Pong Cocktail,Cocktail Classics,.25 oz, Juice of a Lemon,1 oz, Egg White,,2 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Moscow Mule,Vodka,1.5 oz, Vodka,.5 oz,  Lime Juice,,,,,,,,,Lime Slice,Pour vodka and lime juice into copper Moscow Mule mug or standard beer mug. Add ice cubes and fill with ginger beer. Squeeze lime slice and add to glass.,ROCK,10
Phoebe Snow,Cocktail Classics,1.5 oz, Dubonnet,1.5 oz, Brandy,,.5 oz,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Affinity Cocktail,Whiskies,2 oz, Straight rye whiskey,.75 oz, Maraschino liqueur,,.75 oz,2 oz, Orange Bitters,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Peggy Cocktail,Cocktail Classics,.75 oz, Dry Vermouth,1.5 oz, Gin,,.25 oz,.25 oz, Dubonnet,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Peach Blow Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,1 oz,2 oz, Gin,.25 oz, Peach,,,,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Peach Blossom,Cocktail Classics,1 oz, Lemon Juice,.5 oz, Powdered Sugar,,2 oz,.5 oz, Peach,,,,,,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Passion Mimosa,Cocktail Classics,2 oz, Chilled Passion Fruit Juice,, Chilled Champagne,,,,,,,,,Strawberry,"Pour chilled juice into champagne flute, fill with chilled champagne. Garnish with a strawberry.",champagne_flute,6
Mocha Express,Vodka,1.5 oz, Vodka,.75 oz, Irish cream liqueur,,.75 oz,.75 oz, Cold brewed espresso coffee,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Palmer Cocktail,Cocktail Classics,2 oz, Blended whiskey,1 oz, Bitters,,.5 oz,,,,,,,,Stir with ice and strain in cocktail glass.,Cocktail Glass,6
Mr. 404,Vodka,1.5 oz, Vodka,.75 oz, Elderflower liqueur,,.75 oz,.5 oz, Simple Syrup,.5 oz, Aperol,,,Orange Twist,Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Mountain Cocktail,Cocktail Classics,1 oz, Egg White,.25 oz, Lemon Juice,,.25 oz,.25 oz, Sweet Vermouth,1.5 oz, Blended whiskey,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Morning Glory Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,1 oz,.5 oz, Anis,2 oz, Scotch,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Adderly Cocktail,Whiskies,2 oz, Straight rye whiskey,.75 oz, Maraschino liqueur,,2 oz,.75 oz,  lemon juice,,,,,Flamed Orange Twist,Shake with ice and strain into cocktail glass. Garnish with a flamed orange twist.,Cocktail Glass,6
Fancy Brandy,Brandy,2 oz, Brandy,.25 oz, Triple Sec,,.25 oz,1 oz, Angostura Bitters,,,,,Lemon Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Montreal Gin Sour,Cocktail Classics,1 oz, Gin,1 oz, Lemon Juice,,.5 oz,1 oz, Powdered Sugar,,,,,Lemon Slice,Shake with ice and strain into sour glass. Garnish with a lemon slice.,sour,5
Montezuma,Cocktail Classics,1.5 oz, Tequila,1 oz, Madeira,,1 oz,.5 oz, Crushed ice,,,,,,Mix in blender at low speed and serve in champagne flute.,champagne_flute,6
Miss Jones,Vodka,1.5 oz, Vanilla-flavored vodka,1 oz,  lemon juice,,.5 oz,.5 oz, Limoncello,,,,,Star Anise,Shake with ice and strain into chilled cocktail glass. Garnish with star anise.,Cocktail Glass,6
Mint Gin Cocktail,Cocktail Classics,1 oz, Mint-Flavored Gin,1 oz, White Port Wine,,1.5 oz,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Mint Collins,Cocktail Classics,.5 oz, Juice of a Lemon,2 oz, Mint-Flavored Gin,,,,,,,,,"Lemon Slice, Orange Slice, Cherry","Shake with ice and strain into collins glass. Add several ice cubes, fill with carbonated water, and stir. Garnish with a lemon slice, an orange slice, and a cherry. Serve with straws.",Collins Glass,14
Million-Dollar Cocktail,Cocktail Classics,2 oz, Pineapple Juice,1 oz, Grenadine,,1 oz,.75 oz, Sweet Vermouth,1.5 oz, Gin,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Millionaire Cocktail,Cocktail Classics,1 oz, Egg White,.25 oz, Grenadine,,.5 oz,1.5 oz, Blended whiskey,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Academic Review,Whiskies,1.5 oz, Irish Whiskey,.5 oz, Applejack,,.5 oz,.5 oz, Rye Whiskey,.25 oz, Demerara Syrup,2 oz, Mole bitters 1 oz,Orange Twist,Stir with ice and strain into ice-filled old-fashioned glass. Garnish with an orange twist.,Old-Fashioned Glass,6
Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Blended whiskey,,1 oz,,,,,,,Nutmeg,Shake with ice and strain into collins glass. Top with nutmeg.,Collins Glass,14
Merry Widow Fizz,Cocktail Classics,.5 oz, Juice of Orange,.5 oz, Juice of a Lemon,,1 oz,1 oz, Powdered Sugar,1.5 oz, Sloe gin,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
May Blossom Fizz,Cocktail Classics,1 oz, Grenadine,.5 oz, Juice of a Lemon,,2 oz,,,,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Mary Garden Cocktail,Cocktail Classics,1.5 oz, Dubonnet,.75 oz, Dry Vermouth,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
19th Century,Whiskies,1.5 oz, Bourbon whiskey,.75 oz,  lemon juice,,.75 oz,.75 oz, Lillet Rouge,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Manila Fizz,Cocktail Classics,2 oz, Gin,1 oz, Whole Egg,,1 oz,2 oz, Root Beer,.5 oz, Juice of a Lime,,,,Lemon Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,7
1626,Whiskies,2.5 oz, Bourbon whiskey,.75 oz, Gingerbread liqueur,,.5 oz,2 oz, Angostura Bitters,,,,,Cherry,Shake well with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Maracuya Mosquito,Vodka,4 oz,  basil leaves,1.5 oz, Vodka,,.5 oz,.5 oz,  Lime Juice,.5 oz, Simple Syrup,1 oz, Passion Fruit Juice,Basil,Muddle 4 basil leaves in mixing glass. Add remaining ingredients. Shake with ice. Double-strain through wire sieve into crushed ice-filled Collins glass. Garnish with a basil leaf.,Collins Glass,14
Madras,Vodka,1.5 oz, Vodka,4 oz, Cranberry Juice,,1 oz,, Lime wedge,,,,,Lime Slice,Build in order given into ice-filled highball glass. Squeeze lime and add.,Highball Glass,7
Absinthe Cocktail,Cocktail Classics,1.5 oz, Absinthe Substitute,2 oz, Water,,1.5 oz,1 oz, Orange Bitters,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lychee Lucy,Vodka,1.5 oz, Vodka,.5 oz, Lychee liqueur,,.5 oz,.5 oz, Pineapple Juice,2 oz, Angostura Bitters,,,Lychee,Shake with ice and strain into chilled cocktail glass. Garnish with lychee.,Cocktail Glass,6
Vodka Martini,Cocktail Classics,1.5 oz, Mr. Boston Vodka,.75 oz, Dry Vermouth,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass. Garnish with an olive. ,Cocktail Glass,6
The Loop,Vodka,2 oz, Black cherry-flavored vodka,.5 oz, White creme de cacao,,.5 oz,,,,,,,Chocolate Shavings,Shake ingredients with ice. Pour into chilled old-fashioned glass. Top with chocolate shavings.,Old-Fashioned Glass,6
Long Island Iced Tea,Vodka,.75 oz, Vodka,.75 oz, Blanco tequila,,.75 oz,.75 oz, Light Rum,.75 oz, Triple Sec,.5 oz," Simple Syrup,.5 oz",Lemon Slice,"Shake ingredients, except cola, with ice and pour with ice into highball glass. Add cola for color. Garnish with a lemon slice.",Highball Glass,7
Fallen Leaves,Brandy,.75 oz, Calvados,.75 oz, Sweet Vermouth,,.25 oz,1 oz, Brandy,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
L'italienne,Vodka,2 oz, Vodka,.25 oz, Lillet Blanc,,.25 oz,1 oz, Orange Bitters,,,,,,Stir and strain into chilled cocktail glass.,Cocktail Glass,6
Rum Dubonnet,Cocktail Classics,1.5 oz, Light Rum,1.5 oz, Dubonnet,,1 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ruby Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,1 oz,1 oz, Grenadine,2 oz, Sloe gin,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Limoncello Manzanilla Marmalade Sour,Vodka,1.5 oz, Citrus-flavored vodka,.75 oz, Limoncello,,.75 oz,.75 oz,  lemon juice,1 oz, Grapefruit marmalade,,,Orange Twist,Shake with ice and double-strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Royal Gin Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,2 oz,1 oz, Whole Egg,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Royal Cocktail,Cocktail Classics,1 oz, Whole Egg,.5 oz, Juice of a Lemon,,.5 oz,1.5 oz, Gin,,,,,,Shake with ice and strain into sour glass.,sour,5
Royal Clover Club Cocktail,Cocktail Classics,1 oz, Juice of a Lime,1 oz, Grenadine,,1 oz,1.5 oz, Gin,,,,,,Shake with ice and strain into sour glass.,sour,5
